,Management Tone,Stock Movement,label,Date,sentiment,Form type,Filing date
0,"Management expresses confidence in their internal controls and financial reporting, while acknowledging potential challenges ahead. They are optimistic about future growth and expansion plans.",Up,positive,2015-12-31,0.804869532585144,10-K,2016-02-24
1,"The section reflects strong revenue growth and improved gross margins, but highlights rising expenses and operational challenges that temper overall financial performance.",Neutral,negative,2016-12-31,-0.9331892728805542,10-K,2017-03-01
2,"The management expresses optimism about significant revenue growth, particularly in the automotive segment, despite some contraction in margins. They acknowledge operational challenges but remain focused on expansion and innovation.",Up,positive,2017-12-31,0.7927329540252686,10-K,2018-02-23
3,"The section reflects strong revenue growth, particularly in the automotive segment, and outlines ambitious expansion plans. However, it also acknowledges operational challenges that could impact future performance.",Up,positive,2018-12-31,0.5470519065856934,10-K,2019-02-19
4,"The management expresses optimism about revenue growth in the automotive segment and plans for significant expansion in production capacity. However, they acknowledge operational challenges that need to be addressed.",Up,positive,2019-12-31,0.8744685649871826,10-K,2020-02-13
5,"The section reflects a strong recovery in revenue and profitability, with significant growth in the automotive segment. However, operational challenges due to external factors like the pandemic are acknowledged.",Up,positive,2020-12-31,0.7593961358070374,10-K,2021-02-08
6,"The management expresses strong revenue growth driven by demand for electric vehicles, despite some challenges in profitability within the energy segment. They maintain a confident outlook on future operations and adaptability.",Up,positive,2021-12-31,0.9423732161521912,10-K,2022-02-07
7,"The management expresses optimism about revenue growth and improved margins due to operational efficiencies. However, they acknowledge significant operational risks that could impact future performance.",Up,negative,2022-12-31,-0.4868727922439575,10-K,2023-01-31
8,"The section reflects concerns over declining automotive leasing revenue and operational risks, despite some growth in other segments. The outlook is cautious due to potential challenges ahead.",Down,negative,2023-12-31,-0.9347361326217651,10-K,2024-01-29
9,The section reflects a mixed financial performance with strong revenue growth in the energy segment but challenges in the automotive sector. Management is focused on future expansion and operational improvements despite facing significant risks.,Neutral,positive,2024-12-31,0.8281873464584351,10-K,2025-01-30
10,"The section reflects concerns over declining automotive revenues and operational challenges, while highlighting growth in the energy segment. Future plans are ambitious but face significant risks and uncertainties.",Down,negative,2025-12-31,-0.7542166709899902,10-K,2026-01-29
